Iteration;Time;BestFitness;Call-0;Best-0;Imp-0;Eq-0;Wrs-0;Tm-0;Call-1;Best-1;Imp-1;Eq-1;Wrs-1;Tm-1;Call-2;Best-2;Imp-2;Eq-2;Wrs-2;Tm-2;Call-3;Best-3;Imp-3;Eq-3;Wrs-3;Tm-3;Call-4;Best-4;Imp-4;Eq-4;Wrs-4;Tm-4;Call-5;Best-5;Imp-5;Eq-5;Wrs-5;Tm-5;Call-6;Best-6;Imp-6;Eq-6;Wrs-6;Tm-6;Call-7;Best-7;Imp-7;Eq-7;Wrs-7;Tm-7;
220;0,841;0,05867028176501521;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;113;50;50;63;0;0,231752735;8;0;0;8;0;0,012705936;11;6;6;5;0;0,061766904;17;0;0;0;17;0,015780365;18;9;9;9;0;0,06433183;1;0;0;1;0;0,05374324;
221;0,847;0,058652418926099625;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;114;51;51;63;0;0,23391218;8;0;0;8;0;0,012705936;11;6;6;5;0;0,061766904;17;0;0;0;17;0,015780365;18;9;9;9;0;0,06433183;1;0;0;1;0;0,05374324;
225;0,863;0,05864646464646117;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;115;52;52;63;0;0,235883466;8;0;0;8;0;0,012705936;11;6;6;5;0;0,061766904;17;0;0;0;17;0,015780365;21;9;9;12;0;0,074389845;1;0;0;1;0;0,05374324;
226;0,868;0,05864476342370728;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;116;53;53;63;0;0,237884821;8;0;0;8;0;0,012705936;11;6;6;5;0;0,061766904;17;0;0;0;17;0,015780365;21;9;9;12;0;0,074389845;1;0;0;1;0;0,05374324;
233;0,893;0,05863455608718415;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;120;53;53;67;0;0,245501134;8;0;0;8;0;0,012705936;12;6;6;6;0;0,067361504;17;0;0;0;17;0,015780365;23;10;10;13;0;0,081501979;1;0;0;1;0;0,05374324;
234;0,901;0,05862966507176681;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;120;53;53;67;0;0,245501134;8;0;0;8;0;0,012705936;12;6;6;6;0;0,067361504;17;0;0;0;17;0,015780365;24;11;11;13;0;0,085528989;1;0;0;1;0;0,05374324;
236;0,91;0,0581141945773489;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;121;54;54;67;0;0,247441468;9;0;0;9;0;0,014170594;12;6;6;6;0;0,067361504;17;0;0;0;17;0,015780365;24;11;11;13;0;0,085528989;1;0;0;1;0;0,05374324;
237;0,916;0,058109941520464226;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;122;55;55;67;0;0,249361761;9;0;0;9;0;0,014170594;12;6;6;6;0;0,067361504;17;0;0;0;17;0,015780365;24;11;11;13;0;0,085528989;1;0;0;1;0;0,05374324;
246;0,947;0,058039128123335004;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;127;55;55;72;0;0,258568697;10;0;0;10;0;0,015651504;14;7;7;7;0;0,078886243;17;0;0;0;17;0,015780365;25;11;11;14;0;0,08889726;1;0;0;1;0;0,05374324;
247;0,953;0,05803147262094266;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;128;56;56;72;0;0,260623884;10;0;0;10;0;0,015651504;14;7;7;7;0;0,078886243;17;0;0;0;17;0,015780365;25;11;11;14;0;0,08889726;1;0;0;1;0;0,05374324;
